store,date,sales
Shop1,2025-01-03,1200
Shop1,2025-01-15,1800
Shop1,2025-02-05,1400
Shop1,2025-06-07,1616
Shop1,2025-19-03,1723
Shop1,2025-02-06,1615
Shop1,2025-12-25,1001
Shop2,2025-01-07,900
Shop2,2025-02-08,1300
Shop2,2025-03-04,1300
Shop2,2025-11-10,1102
Shop2,2025-10-30,1042
Shop2,2025-07-14,1011
Shop2,2025-02-26,1344
Shop2,2025-03-23,1211
Shop2,2025-04-21,1215
Shop3,2025-01-09,1500
Shop3,2025-03-01,2100
Shop3,2025-02-01,2312	
Shop3,2025-03-04,1918	
Shop3,2025-10-15,1523	
Shop3,2025-14-13,2017	
Shop3,2025-05-17,2221	
Shop3,2025-10-16,1513	
Shop3,2025-11-25,2548		
